Date,Open,High,Low,Close,Adj Close,Volume
1990-10-26,4.28125,4.3125,4.125,4.125,3.635111093521118,90800
1990-10-29,4.125,4.125,4.03125,4.03125,3.552494525909424,28000
1990-10-30,4.03125,4.03125,3.90625,3.9375,3.4698781967163086,104800
1990-10-31,3.9375,3.96875,3.9375,3.96875,3.4974167346954346,121600
1990-11-01,3.96875,4.0625,3.9375,4.03125,3.552494525909424,144000
1990-11-02,4.03125,4.03125,4.0,4.0,3.5249555110931396,61200
1990-11-05,4.0,4.125,4.0,4.09375,3.607572078704834,202400
1990-11-06,4.125,4.125,4.09375,4.125,3.635111093521118,31200
1990-11-07,4.09375,4.125,4.09375,4.125,3.635111093521118,149600
1990-11-08,4.09375,4.125,4.09375,4.09375,3.607572078704834,35200
1990-11-09,4.09375,4.09375,3.96875,3.96875,3.4974167346954346,256000
1990-11-12,4.0,4.15625,4.0,4.125,3.635111093521118,104400
1990-11-13,4.09375,4.15625,4.09375,4.15625,3.6626486778259277,48000
1990-11-14,4.125,4.1875,4.125,4.1875,3.6901886463165283,38800
1990-11-15,4.15625,4.1875,4.15625,4.15625,3.6626486778259277,40800
1990-11-16,4.15625,4.15625,4.0625,4.125,3.635111093521118,101600
1990-11-19,4.15625,4.15625,4.03125,4.125,3.635111093521118,65200
1990-11-20,4.0625,4.125,4.0625,4.0625,3.580033779144287,108400
1990-11-21,4.0625,4.0625,4.0,4.0,3.5249555110931396,123600
1990-11-23,4.0,4.03125,3.96875,4.03125,3.552494525909424,47600
1990-11-26,4.03125,4.03125,3.84375,3.875,3.4148011207580566,145200
1990-11-27,3.84375,3.9375,3.84375,3.9375,3.4698781967163086,66000
1990-11-28,3.9375,4.0,3.875,3.875,3.4148011207580566,218400
1990-11-29,3.875,3.90625,3.8125,3.875,3.4148011207580566,432800
1990-11-30,3.84375,4.0,3.8125,3.96875,3.4974167346954346,456000
1990-12-03,4.0625,4.21875,4.0625,4.1875,3.6901886463165283,366000
1990-12-04,4.1875,4.1875,4.0625,4.125,3.635111093521118,201600
1990-12-05,4.125,4.3125,4.09375,4.3125,3.8003432750701904,268000
1990-12-06,4.5,4.625,4.46875,4.46875,3.938037157058716,840000
1990-12-07,4.5,4.5,4.375,4.375,3.8554208278656006,92800
1990-12-10,4.34375,4.40625,4.3125,4.34375,3.8278820514678955,69200
1990-12-11,4.3125,4.3125,4.21875,4.21875,3.717726707458496,108000
1990-12-12,4.21875,4.21875,4.09375,4.21875,3.717726707458496,183600
1990-12-13,4.1875,4.34375,4.1875,4.28125,3.7728042602539062,388000
1990-12-14,4.28125,4.28125,4.21875,4.25,3.7452659606933594,292400
1990-12-17,4.21875,4.21875,4.15625,4.21875,3.717726707458496,43200
1990-12-18,4.25,4.25,4.15625,4.15625,3.6626486778259277,336000
1990-12-19,4.1875,4.1875,4.125,4.15625,3.6626486778259277,770800
1990-12-20,4.09375,4.25,4.0625,4.21875,3.717726707458496,352400
1990-12-21,4.21875,4.375,4.21875,4.375,3.8554208278656006,156800
1990-12-24,4.34375,4.375,4.28125,4.3125,3.8003432750701904,82400
1990-12-26,4.3125,4.34375,4.28125,4.34375,3.8278820514678955,43200
1990-12-27,4.3125,4.34375,4.3125,4.34375,3.8278820514678955,160800
1990-12-28,4.3125,4.34375,4.28125,4.3125,3.8003432750701904,90000
1990-12-31,4.3125,4.375,4.3125,4.375,3.8554208278656006,442800
1991-01-02,4.40625,4.46875,4.375,4.46875,3.938037157058716,186400
1991-01-03,4.4375,4.5625,4.4375,4.53125,3.993112802505493,133600
1991-01-04,4.5,4.5625,4.5,4.53125,3.993112802505493,243600
1991-01-07,4.5,4.5,4.4375,4.46875,3.938037157058716,162000
1991-01-08,4.5,4.5625,4.46875,4.53125,3.993112802505493,269600
1991-01-09,4.53125,4.71875,4.5,4.53125,4.0041584968566895,346400
1991-01-10,4.5625,4.5625,4.5,4.53125,4.0041584968566895,345200
1991-01-11,4.5,4.5625,4.5,4.5625,4.031774997711182,324800
1991-01-14,4.5625,4.5625,4.46875,4.5,3.9765450954437256,167600
1991-01-15,4.5,4.53125,4.46875,4.5,3.9765450954437256,106000
1991-01-16,4.46875,4.59375,4.46875,4.59375,4.059390068054199,98000
1991-01-17,5.0,5.15625,4.9375,5.0625,4.473613262176514,951600
1991-01-18,5.0625,5.21875,5.03125,5.1875,4.584072589874268,500800
